zip_code,min_medicare_pricing_for_new_patient,max_medicare_pricing_for_new_patient,mode_medicare_pricing_for_new_patient,min_copay_for_new_patient,max_copay_for_new_patient,mode_copay_for_new_patient,most_utilized_procedure_code_for_new_patient,min_medicare_pricing_for_established_patient,max_medicare_pricing_for_established_patient,mode_medicare_pricing_for_established_patient,min_copay_for_established_patient,max_copay_for_established_patient,mode_copay_for_established_patient,most_utilized_procedure_code_for_established_patient
00210,57.752,174.264,174.264,14.438,43.566,43.566,99205,18.704,142.152,142.152,4.676,35.538,35.538,99215
00211,57.752,174.264,174.264,14.438,43.566,43.566,99205,18.704,142.152,142.152,4.676,35.538,35.538,99215
00212,57.752,174.264,174.264,14.438,43.566,43.566,99205,18.704,142.152,142.152,4.676,35.538,35.538,99215
00213,57.752,174.264,174.264,14.438,43.566,43.566,99205,18.704,142.152,142.152,4.676,35.538,35.538,99215
00214,57.752,174.264,174.264,14.438,43.566,43.566,99205,18.704,142.152,142.152,4.676,35.538,35.538,99215
00215,57.752,174.264,174.264,14.438,43.566,43.566,99205,18.704,142.152,142.152,4.676,35.538,35.538,99215
00303,56.192,170.304,170.304,14.048,42.576,42.576,99205,18.072,138.912,138.912,4.518,34.728,34.728,99215
00304,56.192,170.304,170.304,14.048,42.576,42.576,99205,18.072,138.912,138.912,4.518,34.728,34.728,99215
00323,56.192,170.304,170.304,14.048,42.576,42.576,99205,18.072,138.912,138.912,4.518,34.728,34.728,99215
00353,56.192,170.304,170.304,14.048,42.576,42.576,99205,18.072,138.912,138.912,4.518,34.728,34.728,99215
00601,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00602,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00603,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00604,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00605,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00606,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00610,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00611,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00501,67.4,203.536,203.536,16.85,50.884,50.884,99205,21.664,164.456,164.456,5.416,41.114,41.114,99215
00544,67.4,203.536,203.536,16.85,50.884,50.884,99205,21.664,164.456,164.456,5.416,41.114,41.114,99215
00612,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00613,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00614,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00616,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00617,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00622,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00623,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00624,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00627,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00631,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00636,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00637,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00638,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00641,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00646,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00647,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00650,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00652,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00653,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00656,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00659,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00660,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00662,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00664,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00667,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00669,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00670,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00674,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00676,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00677,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00678,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00680,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00681,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00682,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00683,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00685,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00687,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00688,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00690,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00692,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00693,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00694,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00698,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00703,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00704,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00705,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00707,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00714,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00715,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00716,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00717,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00718,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00719,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00720,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00721,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00723,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00725,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00726,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00727,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00728,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00729,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00730,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00731,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00732,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00733,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00734,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00735,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00736,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00737,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00738,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00739,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00740,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00741,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00742,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00744,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00745,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00751,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00754,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00757,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00765,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00766,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00767,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00769,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00771,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00772,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00773,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00775,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00777,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00778,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00780,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00782,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00783,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00784,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00785,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00786,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00791,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
